마케팅신업종,,,,,,,,표준산업분류(KSIC10),,,
KBMLC,KBMLN,KBMMC,KBMMN,KBMSC,KBMSN,KBMSSC,KBMSSN,BZC_CD,BZC_NM,BZC_CD1,BZC_CD3
R,소매업,R26,화장품/미용,R260,NULL,R26005,향수전문점,G47813,"화장품, 비누 및 방향제 소매업",G47,G47
R,소매업,R18,의약/의료기기,R180,NULL,R18003,안경점,G47822,안경 및 렌즈 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25001,가발전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25002,가방전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25003,구두제화,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25004,귀금속전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25005,기능성/특수제화,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25006,넥타이전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25007,렌즈전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25008,모자전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25009,시계전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25010,액세서리,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25011,양말전문점,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R25,패션잡화,R250,NULL,R25012,운동화/샌들/캐쥬얼화,G47830,시계 및 귀금속 소매업,G47,G47
R,소매업,R06,기념품/공예품/골동품,R060,NULL,R06001,골동품점,G47842,"기념품, 관광 민예품 및 장식용품 소매업",G47,G47
R,소매업,R06,기념품/공예품/골동품,R060,NULL,R06002,관광기념품,G47842,"기념품, 관광 민예품 및 장식용품 소매업",G47,G47
R,소매업,R06,기념품/공예품/골동품,R060,NULL,R06003,민예/공예/토산품,G47842,"기념품, 관광 민예품 및 장식용품 소매업",G47,G47
R,소매업,R27,화초 및 식물 소매,R270,NULL,R27001,꽃집/꽃배달,G47851,화초 및 식물 소매업,G47,G47
R,소매업,R11,애완용품,R110,NULL,R11001,애완용품전문점,G47852,애완용 동물 및 관련용품 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07001,농어업용품,G47859,그 외 기타 분류 안된 상품 전문 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07002,대형상품권,G47859,그 외 기타 분류 안된 상품 전문 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07003,복권방,G47859,그 외 기타 분류 안된 상품 전문 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07004,상품권,G47859,그 외 기타 분류 안된 상품 전문 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07005,성인용품,G47859,그 외 기타 분류 안된 상품 전문 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07007,종교용품,G47859,그 외 기타 분류 안된 상품 전문 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07006,재활용품,G47869,기타 중고 상품 소매업,G47,G47
R,소매업,R07,기타용품,R070,NULL,R07008,중고용품,G47869,기타 중고 상품 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19001,PG,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19002,오픈PG,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19003,온라인상품권,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19004,인터넷쇼핑몰,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19005,전_게임,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19006,전_공공기관,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19007,전_교통서비스,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19008,전_문화비,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19009,전_소프트웨어,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19010,전_수수료,G47912,전자상거래 소매업,G47,G47
R,소매업,R19,전자상거래,R190,NULL,R19011,전_스트리밍,G47912,전자상거래 소매업,G47,G47
